#
# contig_name	read_name
#
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:27010:4429/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:11749:21089/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:10140:18803/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:30816:26584/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:7681:34460/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:28076:16485/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:32488:30514/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:2998:12821/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:30825:22748/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:11171:32268/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:20989:25504/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:25346:13354/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:25355:13463/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:15465:8578/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:20446:35900/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:26657:24612/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:27254:2315/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:19280:20823/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:31521:23578/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:21314:12195/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:22661:23359/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:14479:36933/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:19379:24878/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:20338:24126/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:4092:12931/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:17806:6903/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:16152:6762/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:18837:34303/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:13856:36636/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:16884:36276/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:20247:32612/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:30454:13244/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:19280:14309/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:7753:35900/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:31150:11068/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:30825:21966/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:22372:33661/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:21025:25629/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:6316:20666/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:22390:22294/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:30300:32894/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:26648:12508/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:32479:15906/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:32660:16094/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:16649:5963/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:30761:19100/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:19425:31062/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:19443:31093/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:27398:32095/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:29188:32127/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:12201:19366/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:11360:18599/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:28456:31078/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:29785:12931/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:15935:33348/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:16622:33348/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:9932:21073/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:2926:8375/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:11586:25629/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:24641:1830/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:7826:21840/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:16414:25567/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:22788:28588/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:20392:15984/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:20943:19507/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:11550:33207/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:19235:8375/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:5954:34538/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:25816:32268/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:24822:10160/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:11550:14074/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:1660:9439/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:17381:35383/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:13711:34788/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:17219:6136/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:5972:17691/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:29215:19304/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:2736:30185/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:5385:17769/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:9733:7858/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:22498:18787/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:30219:6981/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:1796:17127/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:21106:6825/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:27326:7106/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:15130:6840/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:32018:4961/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:27859:7811/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:25093:7654/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:26856:31000/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:3206:25770/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:3568:27085/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:3387:25300/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:16893:36072/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:16803:1313/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:22968:18944/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:6307:26882/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:6171:27586/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:30626:11851/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:18484:13495/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:13376:15859/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:13105:15984/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1607:4128:19539/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:20853:4633/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:26820:36573/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:28655:17362/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:2148:36057/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:6994:17487/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:7808:7059/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:21432:31594/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:22028:18850/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:30626:18020/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:29559:35806/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:16532:33379/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:26503:16611/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:8015:7952/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:8178:11146/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:13711:18850/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:14253:12837/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:14570:11506/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1610:14516:12915/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1611:23167:1251/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1609:21938:5228/1
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	A00709:261:HT7NNDSX2:3:1608:9372:12618/1
