#
# conName	cFromPadded	cToPadded	cFromUnpadded	cToUnpadded	type	rName	rFromPadded	rToPadded	rFromUnpadded	rToUnpadded	comment
#
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	0	83	0	83	HAF3	A00709:261:HT7NNDSX2:3:1611:27010:4429/1	0	83	0	83	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	84	93	84	93	HAF4	A00709:261:HT7NNDSX2:3:1611:27010:4429/1	84	93	84	93	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	94	99	94	99	HAF3	A00709:261:HT7NNDSX2:3:1611:27010:4429/1	94	99	94	99	
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	464	464	464	464	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	464	464	464	464	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	467	467	467	467	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	467	467	467	467	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	469	469	469	469	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	469	469	469	469	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	470	470	470	470	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	470	470	470	470	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	473	473	473	473	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	473	473	473	473	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	476	476	476	476	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	476	476	476	476	high
NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1430	1430	1430	1430	UNSr	NC_041068.1_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb_bb	1430	1430	1430	1430	high
